CIFAR-10;;;MNIST;;
Arch;eps;Rel. valid. loss diff.;Arch;eps;Rel. valid. loss diff.
DenseNet;0.0001;0.2342;SimpleNet;0.0001;0.1551
;0.001;0.3298;;0.001;0.0785
;0.01;0.289;;0.01;0.1363
;0.1;0.3605;;0.1;0.1184
;0.25;0.3394;;0.25;0.144
;0.5;0.2996;;0.5;0.1635
;1;0.3394;;1;0.0776
ResNet-18;0.0001;0.1966;LeNet-1;0.0001;1.0639
;0.001;0.1521;;0.001;1.1265
;0.01;0.1837;;0.01;0.5238
;0.1;0.1739;;0.1;0.4911
;0.25;0.1441;;0.25;0.4376
;0.5;0.095;;0.5;0.0765
;1;0.1378;;1;0.013
ResNet-34;0.0001;0.0689;LeNet-3;0.0001;1.3487
;0.001;0.1154;;0.001;1.2401
;0.01;0.0844;;0.01;1.3268
;0.1;0.0311;;0.1;0.6569
;0.25;0.0815;;0.25;0.7123
;0.5;0.1141;;0.5;0.285
;1;0.0906;;1;0.127
ResNet-50;0.0001;0.0463;LeNet-5;0.0001;1.0773
;0.001;0.1331;;0.001;1.1608
;0.01;0.1566;;0.01;1.2101
;0.1;0.0892;;0.1;0.7567
;0.25;0.0971;;0.25;0.5123
;0.5;0.1807;;0.5;0.3898
;1;0.2041;;1;0.1825
