dataset;num_classes;arch;;method;;;runname;trg_set_size;thresh;embed_type;loadmodel;;;;epoch_w_wm;epochs_wo_wm;batch_size;wm_batch_size;lr;lradj;optim;sched;;cuda;;trg_set_sizes;save_results;test_acc;wm_acc;;;;valid_loss;epoch;;embed_time
cifar10;10;densenet;True;ProtectingIPP;content;True;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;94.091;100;True;0;7;0.233380931;193;0;17280.57092
cifar10;10;densenet;True;ProtectingIPP;content;True;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;94.271;100;True;0;43;0.2299626;196;0;17754.35473
cifar10;10;densenet;True;ProtectingIPP;content;True;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;94.111;100;True;0;233;0.240774932;189;0;18686.52577
cifar10;10;resnet18;True;ProtectingIPP;content;True;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;94.942;100;True;0;7;0.206572959;186;0;8314.339732
cifar10;10;resnet18;True;ProtectingIPP;content;True;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;95.012;100;True;0;43;0.209571048;183;0;8528.280972
cifar10;10;resnet18;True;ProtectingIPP;content;True;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;94.992;100;True;0;233;0.215022798;192;0;8922.655536
cifar10;10;resnet34;True;ProtectingIPP;content;True;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;95.112;100;True;0;7;0.221423847;190;0;15902.47581
cifar10;10;resnet34;True;ProtectingIPP;content;True;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;95.202;100;True;0;43;0.204435252;187;0;13968.48179
cifar10;10;resnet34;True;ProtectingIPP;content;True;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 100, 500];save_results_content_all.csv;94.922;100;True;0;233;0.243889656;195;0;14797.42106
mnist;10;simplenet_mnist;True;ProtectingIPP;content;True;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;12;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:1;;[12, 24, 120, 600];save_results_content_all.csv;99.669;100;True;0;4;0.012947269;23;0;729.0124285
