dataset;num_classes;arch;;method;;;runname;trg_set_size;thresh;embed_type;loadmodel;;;;epoch_w_wm;epochs_wo_wm;batch_size;wm_batch_size;lr;lradj;optim;sched;;cuda;;trg_set_sizes;save_results;test_acc;wm_acc;;;;valid_loss;epoch;;embed_time
cifar10;10;densenet;True;ProtectingIPP;noise;True;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;94.111;100;True;0;7;0.240819059;191;0;17157.10995
cifar10;10;densenet;True;ProtectingIPP;noise;True;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;94.131;100;True;0;43;0.212091348;196;0;17658.47771
cifar10;10;densenet;True;ProtectingIPP;noise;True;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;93.99;100;True;0;233;0.237617459;196;0;18587.11817
cifar10;10;resnet18;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;94.712;100;True;0;7;0.218314605;189;0;8172.630768
cifar10;10;resnet18;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;94.792;100;True;0;43;0.200923079;192;0;8491.489955
cifar10;10;resnet18;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;94.651;100;True;0;233;0.209088563;190;0;8871.882932
cifar10;10;resnet34;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;94.902;100;True;0;7;0.211184572;188;0;13601.91816
cifar10;10;resnet34;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;95.232;100;True;0;43;0.221780338;193;0;14030.92404
cifar10;10;resnet34;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 100, 500];save_results_noise_all.csv;95.092;100;True;0;233;0.229200932;194;0;14812.37448
mnist;10;simplenet_mnist;True;ProtectingIPP;noise;True;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_12;12;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:2;;[12, 24, 120, 600];save_results_noise_all.csv;99.579;100;True;0;4;0.017025239;23;0;720.7791293
mnist;10;simplenet_mnist;True;ProtectingIPP;noise;True;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_24;24;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:2;;[12, 24, 120, 600];save_results_noise_all.csv;99.589;100;True;0;9;0.016289585;23;0;785.5608013
mnist;10;simplenet_mnist;True;ProtectingIPP;noise;True;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_120;120;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:2;;[12, 24, 120, 600];save_results_noise_all.csv;99.569;100;True;0;52;0.014819052;24;0;836.1387124
mnist;10;simplenet_mnist;True;ProtectingIPP;noise;True;wm_protecting_noise_simplenet_mnist_24_SGD_MultiStepLR_600;600;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:2;;[12, 24, 120, 600];save_results_noise_all.csv;99.499;100;True;0;281;0.021010775;24;0;849.2374814
mnist;10;lenet1;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet1_48_ADAM_MultiStepLR_24;24;0.05;;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.828;100;True;0;9;0.047076028;14;0;298.7452197
mnist;10;lenet1;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet1_48_ADAM_MultiStepLR_120;120;0.05;;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.808;100;True;0;52;0.055972436;22;0;299.8499544
mnist;10;lenet1;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet1_48_ADAM_MultiStepLR_600;600;0.05;;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.387;100;True;0;281;0.077580596;23;0;312.0769641
mnist;10;lenet3;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet3_55_SGD_MultiStepLR_24;24;0.05;;;0.1;100;6;55;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.628;100;True;0;9;0.050692068;51;0;351.1674831
mnist;10;lenet3;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet3_55_SGD_MultiStepLR_120;120;0.05;;;0.1;100;6;55;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.528;100;True;0;52;0.053208721;40;0;352.8986754
mnist;10;lenet3;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet3_55_SGD_MultiStepLR_600;600;0.05;;;0.1;100;6;55;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.558;100;True;0;281;0.062979131;48;0;367.3108568
mnist;10;lenet5;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet5_42_SGD_MultiStepLR_24;24;0.05;;;0.1;100;6;42;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.518;100;True;0;9;0.054320536;38;0;285.3486726
mnist;10;lenet5;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet5_42_SGD_MultiStepLR_120;120;0.05;;;0.1;100;6;42;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.498;100;True;0;52;0.050436251;41;0;283.0856619
mnist;10;lenet5;True;ProtectingIPP;noise;True;wm_protecting_noise_lenet5_42_SGD_MultiStepLR_600;600;0.05;;;0.1;100;6;42;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:2;;[24, 120, 600];save_results_noise_all.csv;98.468;100;True;0;281;0.052375408;41;0;301.5887601
cifar10;10;resnet50;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 500];save_results_noise_all.csv;94.181;100;True;0;7;0.24416657;188;0;19606.62348
cifar10;10;resnet50;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;40;cuda:0;;[100];save_results_resnet50_size100_gemischt.csv;93.91;100;True;0;43;0.233071274;182;0;21307.73248
cifar10;10;resnet50;True;ProtectingIPP;noise;True;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:2;;[20, 500];save_results_noise_all.csv;94.05;100;True;0;233;0.26504574;191;0;21537.85955
