dataset;num_classes;arch;;method;;;runname;trg_set_size;thresh;embed_type;loadmodel;;;;epoch_w_wm;epochs_wo_wm;batch_size;wm_batch_size;lr;lradj;optim;sched;;cuda;;trg_set_sizes;save_results;test_acc;wm_acc;;;;valid_loss;epoch;;embed_time
cifar10;10;densenet;True;PiracyResistant;;False;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;94.03;100;False;15;;0.242954257;196;0;17418.67185
cifar10;10;densenet;True;PiracyResistant;;False;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;94.01;100;False;83;;0.224841476;195;0;17998.37441
cifar10;10;densenet;True;PiracyResistant;;False;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;93.92;100;False;446;;0.242473826;194;0;19026.2127
cifar10;10;resnet18;True;PiracyResistant;;False;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;94.842;100;False;21;;0.21129585;197;0;8721.601277
cifar10;10;resnet18;True;PiracyResistant;;False;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;94.371;100;False;161;;0.223972646;199;0;9182.051895
cifar10;10;resnet18;True;PiracyResistant;;False;wm_piracy_resnet18_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;94.982;100;False;831;;0.205689508;194;0;10910.84427
cifar10;10;resnet34;True;PiracyResistant;;False;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;94.902;100;False;15;;0.228813176;199;0;16860.32442
cifar10;10;resnet34;True;PiracyResistant;;False;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;95.072;100;False;164;;0.217120773;193;0;17166.07332
cifar10;10;resnet34;True;PiracyResistant;;False;wm_piracy_resnet34_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:0;;[20, 100, 500];save_results_piracy.csv;94.962;100;False;808;;0.211091272;196;0;18131.12354
cifar10;10;resnet50;True;PiracyResistant;;False;wm_piracy_resnet50_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 500];save_results_piracy.csv;94,631;100;False;16;;0.220527095;194;0;33254.0275
cifar10;10;resnet50;True;PiracyResistant;;False;wm_piracy_resnet50_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;40;cuda:0;;[100];save_results_resnet50_size100_gemischt.csv;93,76;100;False;161;;0.241381228;194;0;21284.35374
cifar10;10;resnet50;True;PiracyResistant;;False;wm_piracy_resnet50_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;2000;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:1;;[20, 500];save_results_piracy.csv;94,111;100;False;601;;0.225464879;190;0;25920.45415
mnist;10;simplenet_mnist;True;PiracyResistant;;False;wm_piracy_simplenet_mnist_50fixlmbdafixpatternsize_SGD_MultiStepLR_12;12;0.05;;;0.1;2000;6;50;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:0;;[12, 24, 120, 600];save_results_piracy.csv;99.649;100;False;10;;0.015777471;23;0;1522.115611
mnist;10;simplenet_mnist;True;PiracyResistant;;False;wm_piracy_simplenet_mnist_50fixlmbdafixpatternsize_SGD_MultiStepLR_24;24;0.05;;;0.1;2000;6;50;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:0;;[12, 24, 120, 600];save_results_piracy.csv;99.659;100;False;21;;0.01739395;22;0;1658.283592
mnist;10;simplenet_mnist;True;PiracyResistant;;False;wm_piracy_simplenet_mnist_50fixlmbdafixpatternsize_SGD_MultiStepLR_120;120;0.05;;;0.1;2000;6;50;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:0;;[12, 24, 120, 600];save_results_piracy.csv;99.629;100;False;156;;0.016491949;23;0;1770.196325
mnist;10;simplenet_mnist;True;PiracyResistant;;False;wm_piracy_simplenet_mnist_50fixlmbdafixpatternsize_SGD_MultiStepLR_600;600;0.05;;;0.1;2000;6;50;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:0;;[12, 24, 120, 600];save_results_piracy.csv;99.559;100;False;969;;0.016011888;22;0;1808.325231
mnist;10;lenet1;True;PiracyResistant;;False;wm_piracy_lenet1_100fixlmbdafixpatternsize_ADAM_MultiStepLR_24;24;0.05;;;0.1;2000;6;100;0;64;32;0.001;0.1;ADAM;MultiStepLR;50;cuda:0;;[24, 120, 600];save_results_piracy.csv;98.948;100;False;21;;0.045273862;23;0;488.30585
