dataset;num_classes;arch;;method;;;runname;trg_set_size;thresh;embed_type;loadmodel;;;;epoch_w_wm;epochs_wo_wm;batch_size;wm_batch_size;lr;lradj;optim;sched;;cuda;;trg_set_sizes;save_results;test_acc;wm_acc;;;;valid_loss;epoch;;embed_time
cifar10;10;densenet;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;93.92;100;True;0;7;0.214418182;196;0;17549.30199
cifar10;10;densenet;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;94.111;100;True;0;43;0.241498033;196;0;17995.63604
cifar10;10;densenet;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;93.96;100;True;0;233;0.233786241;200;0;18842.17284
cifar10;10;resnet18;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;94.912;100;True;0;7;0.199423992;191;0;8257.852227
cifar10;10;resnet18;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;95.282;100;True;0;43;0.209724448;191;0;8367.100289
cifar10;10;resnet18;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;95.012;100;True;0;233;0.200250676;191;0;8810.370364
cifar10;10;resnet34;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;95.272;100;True;0;7;0.217076705;190;0;13514.59534
cifar10;10;resnet34;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;95.513;100;True;0;43;0.225313304;193;0;13803.85221
cifar10;10;resnet34;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;195;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 100, 500];save_results_unrelated_all.csv;95.212;100;True;0;233;0.22672572;189;0;14616.4334
mnist;10;simplenet_mnist;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;12;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:3;;[12, 24, 120, 600];save_results_unrelated_all.csv;99.579;100;True;0;4;0.014465481;23;0;709.5256705
mnist;10;simplenet_mnist;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_24;24;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:3;;[12, 24, 120, 600];save_results_unrelated_all.csv;99.619;100;True;0;9;0.016123796;23;0;770.7655499
mnist;10;simplenet_mnist;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_120;120;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:3;;[12, 24, 120, 600];save_results_unrelated_all.csv;99.619;100;True;0;52;0.017232018;24;0;824.5259922
mnist;10;simplenet_mnist;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_600;600;0.05;;;0.1;100;6;24;0;64;32;0.1;0.1;SGD;MultiStepLR;50;cuda:3;;[12, 24, 120, 600];save_results_unrelated_all.csv;99.549;100;True;0;281;0.018916543;23;0;839.139158
mnist;10;lenet1;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet1_48_ADAM_MultiStepLR_24;24;0.05;;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.708;100;True;0;9;0.047780922;17;0;308.6902392
mnist;10;lenet1;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet1_48_ADAM_MultiStepLR_120;120;0.05;;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.798;100;True;0;52;0.053061048;22;0;302.8662808
mnist;10;lenet1;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet1_48_ADAM_MultiStepLR_600;600;0.05;;;0.1;100;6;48;0;64;32;0.001;0.1;ADAM;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.237;100;True;0;281;0.116761714;26;0;313.1219859
mnist;10;lenet3;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet3_55_SGD_MultiStepLR_24;24;0.05;;;0.1;100;6;55;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.427;100;True;0;9;0.052855268;39;0;345.3815172
mnist;10;lenet3;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet3_55_SGD_MultiStepLR_120;120;0.05;;;0.1;100;6;55;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.738;100;True;0;52;0.05101512;42;0;361.6889069
mnist;10;lenet3;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet3_55_SGD_MultiStepLR_600;600;0.05;;;0.1;100;6;55;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.387;100;True;0;281;0.084244726;48;0;366.7846355
mnist;10;lenet5;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet5_42_SGD_MultiStepLR_24;24;0.05;;;0.1;100;6;42;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.387;100;True;0;9;0.057751929;42;0;282.6575108
mnist;10;lenet5;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet5_42_SGD_MultiStepLR_120;120;0.05;;;0.1;100;6;42;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.618;100;True;0;52;0.052877936;41;0;275.8010497
mnist;10;lenet5;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_lenet5_42_SGD_MultiStepLR_600;600;0.05;;;0.1;100;6;42;0;64;32;0.001;0.1;SGD;MultiStepLR;50;cuda:3;;[24, 120, 600];save_results_unrelated_all.csv;98.407;100;True;0;281;0.070223568;34;0;285.5041354
cifar10;10;resnet50;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;20;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 500];save_results_unrelated_all.csv;93.82;100;True;0;7;0.277688072;192;0;19424.14837
cifar10;10;resnet50;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;100;0.05;;;0.1;100;6;200;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;40;cuda:0;;[100];save_results_resnet50_size100_gemischt.csv;93.9;100;True;0;43;0.260302325;195;0;21346.96099
cifar10;10;resnet50;True;ProtectingIPP;unrelated;True;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;500;0.05;;;0.1;100;6;192;0;64;32;0.1;0.1;SGD;CosineAnnealingLR;50;cuda:3;;[20, 500];save_results_unrelated_all.csv;93.229;100;True;0;233;0.24461768;173;0;21411.79329
