dataset;num_classes;arch;attack_type;pruning_rates;;;batch_size;wm_batch_size;;;optim;sched;;;save_file;;method;eps;;cuda;pruning_rate;test_acc;wm_acc;attack_time;;;;
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;True;False;cuda:3;99.74959564;25.05007935;10;0.023213603;36;1299.551911
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;False;False;cuda:3;78.70593262;30.60897446;38;0.674130992;87;1332.138223
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;True;False;cuda:3;99.5192337;25.66105843;10;0.009240999;26;1084.423024
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;False;False;cuda:3;77.75440979;31.20993614;39;0.681955433;37;721.2186053
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.01_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.01;False;True;False;cuda:3;99.56931305;20.32251549;12;0.013085158;27;1109.653884
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.01_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.01;False;False;False;cuda:3;77.85456848;30.33854103;35;0.737970417;51;893.1327453
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.1_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.1;False;True;False;cuda:3;99.49919891;21.53445435;9;0.014596706;26;1084.769939
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.1_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.1;False;False;False;cuda:3;79.08654022;30.92948723;16;0.67231678;77;1207.304487
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.5_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;False;True;False;cuda:3;99.64943695;21.02363777;12;0.010755002;63;1945.339512
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.5_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;False;False;False;cuda:3;80.43870544;30.53886223;30;0.655163614;55;946.9116859
