dataset;num_classes;arch;attack_type;pruning_rate;lr;batch_size;wm_batch_size;num_epochs;trg_set_size;loadmodel;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:1;94.09054565;100;0.150295973
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.127092123
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.081616879
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.094347239
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.086884737
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.09054565;100;0.086434364
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.10056305;100;0.109717131
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.1306076;100;0.086633205
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.57972717;90;0.090954065
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;20;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;71.73477936;15;0.091917992
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.94190979;100;0.134806156
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.9318924;100;0.136011124
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.9118576;100;0.158216953
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.921875;100;0.144423246
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.88181305;100;0.151087761
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.65144348;100;0.146956682
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.03044891;100;0.161602497
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;80.68910217;75;0.155502319
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;20;wm_protecting_content_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;13.53165054;10;0.153441906
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.242928267
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.229995489
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.267611504
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.11218262;100;0.251049519
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.14222717;100;0.300800562
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.14222717;100;0.297360897
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;95.02203369;100;0.327831984
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.8317337;100;0.266650915
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;20;wm_protecting_content_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;content;ProtectingIPP;cuda:0;86.6286087;80;0.31100297
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.078529835
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.075000048
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.09025836
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.11708045
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.27083588;100;0.125720978
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.26081848;100;0.077884197
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;94.2307663;100;0.105634451
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;100;wm_protecting_content_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;content;ProtectingIPP;cuda:0;93.7399826;100;0.088541508
