dataset;num_classes;arch;attack_type;pruning_rates;lr;batch_size;wm_batch_size;num_epochs;patience;trg_set_size;loadmodel;save_file;wm_type;method;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;92.52804565;100;0.085979939
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;92.52804565;100;0.082197905
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;92.52804565;100;0.072092295
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;92.52804565;100;0.080200195
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;92.52804565;100;0.081115723
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;92.52804565;100;0.072663784
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;92.52804565;100;0.064835548
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;92.51802826;100;0.070256472
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;92.16746521;100;0.070337772
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;91.24599457;100;0.083153009
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;91.24599457;100;0.064022779
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;91.24599457;100;0.065665007
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;91.24599457;100;0.071862698
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;91.24599457;100;0.068660021
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;91.24599457;100;0.070844889
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;91.24599457;100;0.067833662
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;91.24599457;100;0.07934165
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;90.95552826;100;0.071797132
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;87.5;100;0.118233204
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;87.5;100;0.071405172
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;87.5;100;0.072046995
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;87.5;100;0.07695508
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;87.5;100;0.067697525
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;87.5;100;0.072405338
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;87.5;100;0.075714588
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;87.5;100;0.080573559
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;86.90905762;97.19999695;0.105209112
