dataset;num_classes;arch;attack_type;pruning_rates;;;batch_size;wm_batch_size;;;optim;sched;trg_set_size;;save_file;;method;eps;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.1;99.63941956;100;0.067238808
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.2;99.63941956;100;0.05278039
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.3;99.63941956;100;0.053944826
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.4;99.64943695;100;0.060020924
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.5;99.63941956;100;0.056924343
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.6;99.65945435;100;0.057051182
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.7;99.5993576;100;0.058169842
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.8;98.92828369;100;0.061654806
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;12;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_12;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.9;25.28044891;66.66666412;0.063490391
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.1;99.66947174;100;0.060665607
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.2;99.66947174;100;0.050264597
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.3;99.66947174;100;0.053846359
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.4;99.66947174;100;0.056299925
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.5;99.65945435;100;0.05568409
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.6;99.6193924;100;0.056341171
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.7;99.62940979;100;0.062534094
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.8;98.97836304;100;0.058245897
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_24;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.9;26.43229103;33.33333206;0.058913946
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_120;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.1;99.55929565;100;0.06951189
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_120;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.2;99.55929565;100;0.048711777
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_120;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.3;99.55929565;100;0.054618835
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.25_SGD_MultiStepLR_120;save_results_pruning_frontier0.25.csv;;FrontierStitching;0.25;128;False;False;False;cuda:3;0.4;99.55929565;100;0.056634665
