dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.11058044;100;0.111012697
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.11058044;100;0.090134144
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.11058044;100;0.089441776
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.11058044;100;0.092870951
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.11058044;100;0.106764317
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.17066956;100;0.124070406
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.93029022;100;0.087716579
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;92.79847717;95;0.09986496
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;20;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;57.98277283;15;0.132963181
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;20;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.72155762;100;0.133272886
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;20;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.71154022;100;0.140700102
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;20;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.66146088;100;0.156544447
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;20;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.68148804;100;0.154081106
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;20;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.60136414;100;0.16630888
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;20;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.60136414;100;0.148140669
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;20;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.30088043;100;0.147302628
