dataset;num_classes;arch;attack_type;pruning_rates;lr;;batch_size;wm_batch_size;num_epochs;patience;;;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;94.03044891;100;0.080676317
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.2;94.03044891;100;0.072332621
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.3;94.03044891;100;0.081205845
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.4;94.03044891;100;0.065758705
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.5;94.03044891;100;0.065324306
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.6;94.03044891;100;0.119744539
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.7;94.0504837;100;0.067729235
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.8;93.62980652;100;0.068566322
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;20;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_20;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.9;76.2620163;40;0.081109524
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_piracy_densenet_200fixlmbdafixpatternsize_SGD_CosineAnnealingLR_100;save_results_attacks_piracy.csv;;PiracyResistant;;128;False;False;False;cuda:1;0.1;94.01041412;100;0.092594147
