dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;;cuda;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.92027283;100;0.124021053
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.92027283;100;0.089037418
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.92027283;100;0.080321789
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.92027283;100;0.080631971
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.92027283;100;0.081439018
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.95031738;100;0.126890182
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.04046631;100;0.088211775
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.15905762;100;0.123949528
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;20;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;78.95632935;40;0.117065668
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.9118576;100;0.149703979
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.9118576;100;0.133687019
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.94190979;100;0.141078472
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.97195435;100;0.142021418
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.02203369;100;0.13687849
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.97195435;100;0.152548075
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.65144348;100;0.14798665
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;92.24759674;100;0.152586222
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;20;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;10.92748356;10;0.155078411
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.27243805;100;0.231384039
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.27243805;100;0.27711916
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.27243805;100;0.228953838
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.28245544;100;0.247276306
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.29246521;100;0.270952225
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.18228912;100;0.271869183
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.9118576;100;0.279853582
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.71995544;100;0.299347162
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;20;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;81.75080109;60;0.309843302
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;100;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;94.11058044;100;0.085428715
